Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,48.020000,50.286999,43.500000,44.470001,44.470001,1417100
2021-03-09,46.939999,52.180000,46.939999,50.689999,50.689999,1707000
2021-03-10,51.200001,55.119999,49.849998,50.009998,50.009998,1440600
2021-03-11,52.770000,54.680000,52.389999,53.160000,53.160000,1589300
2021-03-12,51.290001,52.665001,50.500000,52.480000,52.480000,627600
2021-03-15,51.779999,54.299999,51.779999,53.930000,53.930000,753800
2021-03-16,54.889999,56.000000,51.189999,52.910000,52.910000,1053400
2021-03-17,51.000000,55.779999,50.000000,53.919998,53.919998,1356600
2021-03-18,53.139999,53.439999,49.500000,49.840000,49.840000,1500000
2021-03-19,49.770000,52.500000,49.610001,51.990002,51.990002,2009600
2021-03-22,52.560001,55.930000,52.040001,54.410000,54.410000,981500
2021-03-23,54.040001,54.299999,51.879002,53.009998,53.009998,970400
2021-03-24,54.430000,54.439999,46.630001,48.110001,48.110001,1418600
2021-03-25,46.270000,50.110001,44.709999,50.009998,50.009998,1170500
2021-03-26,51.320000,51.490002,46.419998,48.330002,48.330002,864800
2021-03-29,48.029999,48.590000,45.400002,46.740002,46.740002,607500
2021-03-30,46.580002,50.180000,45.180000,49.470001,49.470001,530900
2021-03-31,50.599998,55.005001,50.099998,53.750000,53.750000,1028200
2021-04-01,54.919998,58.294998,52.570000,52.720001,52.720001,876100
2021-04-05,54.310001,57.590000,54.310001,56.619999,56.619999,741300
2021-04-06,55.720001,59.834999,54.500000,55.410000,55.410000,981300
2021-04-07,54.919998,55.334999,51.689999,52.160000,52.160000,450700
2021-04-08,53.889999,54.610001,52.380001,53.369999,53.369999,397200
2021-04-09,53.380001,54.790001,51.259998,52.570000,52.570000,456000
2021-04-12,52.810001,52.900002,49.630001,51.650002,51.650002,328700
2021-04-13,52.250000,55.770000,52.195000,55.040001,55.040001,693700
2021-04-14,55.630001,57.970001,53.160000,53.570000,53.570000,518000
2021-04-15,54.410000,56.830002,54.299999,56.380001,56.380001,497300
2021-04-16,56.009998,56.195000,46.180000,48.169998,48.169998,1480200
2021-04-19,47.040001,48.080002,43.490002,45.310001,45.310001,855800
2021-04-20,44.759998,46.209999,43.700001,45.970001,45.970001,775100
